20190610 07:17:32,3485.0000,0.0000,713758.0000,713758.0000,1.797693e+308,1.797693e+308,1.797693e+308
20190610 08:59:00,3470.0000,544.0000,714088.0000,713758.0000,3470.0000,3470.0000,3470.0000
20190610 09:00:00,3468.0000,556.0000,714094.0000,713758.0000,3470.0000,3470.0000,3468.0000
20190610 09:00:01,3468.0000,588.0000,714100.0000,713758.0000,3470.0000,3470.0000,3467.0000
20190610 09:00:01,3464.0000,710.0000,714118.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:02,3468.0000,916.0000,714002.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:02,3469.0000,972.0000,713974.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:03,3470.0000,1006.0000,713964.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:03,3470.0000,1018.0000,713964.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:04,3471.0000,1050.0000,713934.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:04,3472.0000,1054.0000,713930.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:05,3472.0000,1062.0000,713926.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:05,3470.0000,1092.0000,713910.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:06,3472.0000,1122.0000,713890.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:06,3471.0000,1136.0000,713878.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:07,3473.0000,1140.0000,713876.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:07,3472.0000,1150.0000,713868.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:08,3472.0000,1178.0000,713848.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:08,3472.0000,1178.0000,713848.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:09,3474.0000,1182.0000,713848.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:09,3474.0000,1186.0000,713848.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:10,3475.0000,1198.0000,713850.0000,713758.0000,3470.0000,3475.0000,3463.0000
20190610 09:00:10,3476.0000,1202.0000,713852.0000,713758.0000,3470.0000,3476.0000,3463.0000
20190610 09:00:11,3476.0000,1242.0000,713852.0000,713758.0000,3470.0000,3476.0000,3463.0000
